Timestamp for sample frequency every 15 min,Temperature (°C)
2024-07-06 03:49:00,18.9600
2024-07-06 04:04:00,18.8550
2024-07-06 04:19:00,18.7625
2024-07-06 04:34:00,18.7250
2024-07-06 04:49:00,18.5375
2024-07-06 05:04:00,18.5675
2024-07-06 05:19:00,18.4575
2024-07-06 05:34:00,18.2650
2024-07-06 05:49:00,18.0025
2024-07-06 06:04:00,17.7450
2024-07-06 06:19:00,17.7525
2024-07-06 06:34:00,17.9550
2024-07-06 06:49:00,19.2650
2024-07-06 07:04:00,20.5600
2024-07-06 07:19:00,21.4275
2024-07-06 07:34:00,22.1325
2024-07-06 07:49:00,23.0625
2024-07-06 08:04:00,23.7800
2024-07-06 08:19:00,24.3050
2024-07-06 08:34:00,25.2300
2024-07-06 08:49:00,26.1700
2024-07-06 09:04:00,26.7800
2024-07-06 09:19:00,27.7300
2024-07-06 09:34:00,28.6750
2024-07-06 09:49:00,29.5900
2024-07-06 10:04:00,30.1400
2024-07-06 10:19:00,30.9500
2024-07-06 10:34:00,31.7400
2024-07-06 10:49:00,32.5650
2024-07-06 11:04:00,33.6925
2024-07-06 11:19:00,34.3900
2024-07-06 11:34:00,35.7550
2024-07-06 11:49:00,36.4850
2024-07-06 12:04:00,36.9825
2024-07-06 12:19:00,37.8075
2024-07-06 12:34:00,38.8325
2024-07-06 12:49:00,39.5800
2024-07-06 13:04:00,40.4275
2024-07-06 13:19:00,40.8775
2024-07-06 13:34:00,41.9825
2024-07-06 13:49:00,42.6725
2024-07-06 14:04:00,42.9325
2024-07-06 14:19:00,43.1750
2024-07-06 14:34:00,43.5275
2024-07-06 14:49:00,43.7575
2024-07-06 15:04:00,43.1175
2024-07-06 15:19:00,43.1800
2024-07-06 15:34:00,42.8375
2024-07-06 15:49:00,42.1600
2024-07-06 16:04:00,42.1350
2024-07-06 16:19:00,41.6950
2024-07-06 16:34:00,41.5125
2024-07-06 16:49:00,41.5500
2024-07-06 17:04:00,41.1750
2024-07-06 17:19:00,40.8250
2024-07-06 17:34:00,39.8675
2024-07-06 17:49:00,38.9700
2024-07-06 18:04:00,38.1200
2024-07-06 18:19:00,37.3375
2024-07-06 18:34:00,36.7600
2024-07-06 18:49:00,36.1725
2024-07-06 19:04:00,35.6300
2024-07-06 19:19:00,35.1000
2024-07-06 19:34:00,34.6600
2024-07-06 19:49:00,33.9450
2024-07-06 20:04:00,33.1575
2024-07-06 20:19:00,32.4125
2024-07-06 20:34:00,31.7025
2024-07-06 20:49:00,31.1250
2024-07-06 21:04:00,30.6375
2024-07-06 21:19:00,30.0475
2024-07-06 21:34:00,29.4275
2024-07-06 21:49:00,28.7225
2024-07-06 22:04:00,28.0100
2024-07-06 22:19:00,27.4625
2024-07-06 22:34:00,27.0350
2024-07-06 22:49:00,26.6175
2024-07-06 23:04:00,26.3425
2024-07-06 23:19:00,26.0250
2024-07-06 23:34:00,25.8450
2024-07-06 23:49:00,25.6425
2024-07-07 00:04:00,25.2850
2024-07-07 00:19:00,24.8500
2024-07-07 00:34:00,24.4075
2024-07-07 00:49:00,23.9025
2024-07-07 01:04:00,23.8125
2024-07-07 01:19:00,23.5200
2024-07-07 01:34:00,23.1050
2024-07-07 01:49:00,22.8300
2024-07-07 02:04:00,22.6475
2024-07-07 02:19:00,22.4250
2024-07-07 02:34:00,22.1950
2024-07-07 02:49:00,21.8725
2024-07-07 03:04:00,21.5850
2024-07-07 03:19:00,21.2025
2024-07-07 03:34:00,20.9400
2024-07-07 03:49:00,20.6400
2024-07-07 04:04:00,20.3575
2024-07-07 04:19:00,20.2200
2024-07-07 04:34:00,20.0650
2024-07-07 04:49:00,19.7050
2024-07-07 05:04:00,19.5025
2024-07-07 05:19:00,19.4075
2024-07-07 05:34:00,19.3275
2024-07-07 05:49:00,19.1075
2024-07-07 06:04:00,18.9525
2024-07-07 06:19:00,18.8250
2024-07-07 06:34:00,18.9500
2024-07-07 06:49:00,19.8950
2024-07-07 07:04:00,20.9600
